"ID","Adoption","Died","Euthanasia","Return_to_owner","Transfer"
"1",0.072,0,0.002,0.078,0.848
"2",0.958,0,0,0.042,0
"3",0.76,0,0,0,0.24
"4",0.1,0,0,0.064,0.836
"5",0.908,0,0,0.092,0
"6",0.212,0,0,0.788,0
"7",0.85,0,0.024,0.094,0.032
"8",0.936,0,0,0,0.064
"9",0.998,0,0,0,0.002
"10",0.978,0,0,0.022,0
"11",1,0,0,0,0
"12",0.076,0,0.006,0.412,0.506
"13",0.972,0,0,0,0.028
"14",0.76,0,0,0.008,0.232
"15",0.966,0,0,0.034,0
"16",1,0,0,0,0
"17",0.16,0,0,0.84,0
"18",0.306,0,0,0.694,0
"19",0.79,0,0,0.048,0.162
"20",0.002,0,0.088,0.014,0.896
"21",0.648,0,0,0,0.352
"22",0,0,0,0,1
"23",0.974,0,0,0.026,0
"24",0,0,0.028,0,0.972
"25",0.98,0,0,0.02,0
"26",0.086,0,0.002,0,0.912
"27",0.996,0,0,0,0.004
"28",0.052,0,0,0,0.948
"29",0.216,0,0,0.784,0
"30",0.876,0,0,0.124,0
"31",0.552,0,0,0.064,0.384
"32",1,0,0,0,0
"33",0.062,0,0.002,0,0.936
"34",0.996,0,0,0,0.004
"35",0.246,0,0,0,0.754
"36",0.966,0,0,0.034,0
"37",0.102,0,0.022,0.002,0.874
"38",1,0,0,0,0
"39",0.392,0,0,0.608,0
"40",0.69,0,0.002,0.004,0.304
"41",0.154,0,0.008,0.07,0.768
"42",0,0,0,0,1
"43",0.866,0,0,0,0.134
"44",0,0,0,0,1
"45",0.052,0,0.004,0.004,0.94
"46",0.892,0,0,0.002,0.106
"47",0.776,0,0.002,0.032,0.19
"48",0.892,0,0,0.108,0
"49",0.336,0,0,0.662,0.002
"50",0.084,0.01,0.026,0.274,0.606
"51",0.274,0,0,0,0.726
"52",0.258,0,0,0.742,0
"53",0.996,0,0,0,0.004
"54",0.09,0,0,0,0.91
"55",0,0,0.172,0,0.828
"56",0.902,0,0.004,0.064,0.03
"57",0.97,0,0,0.03,0
"58",0,0,0.002,0,0.998
"59",0,0,0,0,1
"60",1,0,0,0,0
"61",0.76,0,0,0.008,0.232
"62",0.21,0,0,0.79,0
"63",0.668,0,0,0,0.332
"64",0,0,0,0,1
"65",0.016,0,0,0,0.984
